dataset,clip,method,frames,psnr,ssim,lpips,tlpips,fid,temporal_mae,has_gt,pred_path,gt_path,eval_policy,crop_twh
vimeo-rl,vimeo-RL_00018_0217,part3_B_flow_stabilized,7,,,,0.3888,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0217_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0217,part3_B_temporal_gen_blend,7,,,,0.3773,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0217_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0217,part3_C_uncertainty_adaptive,7,,,,0.3845,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0217_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0220,part3_A_rectified_flow,7,,,,0.1442,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0220_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0220,part3_B_flow_stabilized,7,,,,0.1544,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0220_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0220,part3_B_temporal_gen_blend,7,,,,0.1464,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0220_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0220,part3_C_uncertainty_adaptive,7,,,,0.1531,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0220_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0221,part3_A_rectified_flow,7,,,,0.0390,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0221_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0221,part3_B_flow_stabilized,7,,,,0.0408,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0221_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0221,part3_B_temporal_gen_blend,7,,,,0.0346,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0221_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0221,part3_C_uncertainty_adaptive,7,,,,0.0395,,,false,part3_exploration/outputs/direction_c_uncertainty/vimeo-RL_00018_0221_uncertainty_adaptive_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0252,part3_A_rectified_flow,7,,,,0.1265,,,false,part3_exploration/outputs/direction_a_flow_matching/vimeo-RL_00018_0252_rectified_flow_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0252,part3_B_flow_stabilized,7,,,,0.1264,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0252_flow_stabilized_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
vimeo-rl,vimeo-RL_00018_0252,part3_B_temporal_gen_blend,7,,,,0.1248,,,false,part3_exploration/outputs/direction_b_sd_controlnet/vimeo-RL_00018_0252_temporal_gen_blend_x4.mp4,,unified_streaming_vsr_crop_minT,384x256
